trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
189,False,"{'a': 0.2, 'e': 0.023283740374897}",30,8,37.54069191868322,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.02282269142509297}",20,11,17.380943249581076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.02237077185616559}",25,0,33.893806475019446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.2, 'e': 0.02192780089426161}",20,0,29.186970816121836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.2, 'e': 0.021493601345089923}",20,8,-22.765447632336603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.2, 'e': 0.021067999523041434}",20,8,23.28549405315189,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.020650825181712566}",30,4,38.53011458027298,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.02024191144580439}",35,23,17.76098929554218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.019841094744370288}",30,23,13.269815799650738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.01944821474538539}",20,0,32.569761644651614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.2, 'e': 0.019063114291611637}",20,1,-17.28265555262913,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.2, 'e': 0.018685639337732773}",25,3,36.65695890282558,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.01831563888873418}",20,0,29.685434128371682,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.2, 'e': 0.01795296493950285}",20,0,30.071405691667252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
203,False,"{'a': 0.2, 'e': 0.017597472415623393}",25,1,18.508187288615687,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.017249019115346265}",30,12,32.687852652449585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
